기준일,"검체채취
가능여부",시도,시군구,의료기관명,주소,위도,경도,평일 운영시간,토요일 운영시간,"일요일/공휴일
운영시간",대표 전화번호
2021년 05월 04일 12시,○,부산,부산진구,동의병원,양정로 62,35.169811,129.076755,08:30 ~ 17:00,08:30 ~ 12:00,미운영,051-850-8865
2021년 05월 04일 12시,○,부산,부산진구,춘해병원,중앙대로 605,35.146879,129.058335,15:30 ~ 16:00,미운영,미운영,051-638-8000
2021년 05월 04일 12시,○,부산,사상구,사상구보건소,부산 사상구 감전동 138-8,35.152391,128.992059,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,051-310-4791
2021년 05월 04일 12시,○,부산,사상구,부산보훈병원,부산 사상구 백양대로 420 (주례동),35.153259,129.006553,08:30 ~ 17:30,미운영,미운영,051-601-6000
2021년 05월 04일 12시,○,부산,사상구,좋은삼선병원,부산 사상구 가야대로 326,35.150511,129.008206,09:00 ~ 16:00,09:00 ~ 12:00,미운영,051-310-0900
2021년 05월 04일 12시,○,부산,사하구,사하구보건소,"부산 사하구 하신중앙로 185 사하구보건소 (신평동, 사하구 제2청사, 신평2동행정복지센터)",35.094343,128.959435,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,051-220-5741
2021년 05월 04일 12시,○,부산,수영구,수영구보건소,부산 수영구 광안1동 661-1번지,35.162607,129.113465,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,051-752-4000
2021년 05월 04일 12시,○,부산,수영구,좋은강안병원,부산 수영구 수영로 493,35.150057,129.110724,09:30 ~ 16:00,09:30 ~ 12:00,미운영,051-625-0900
2021년 05월 04일 12시,○,부산,수영구,BHS한서병원,부산 수영구 수영로 615,35.160814,129.113179,09:00 ~ 15:30,미운영,미운영,051-756-0081
2021년 05월 04일 12시,○,부산,연제구,연제구보건소,부산 연제구 연산2동 연제로 2(연산2동 1555),35.176842,129.079099,9:0 ~ 18:0,9:0 ~ 18:0,9:0 ~ 18:0,051-665-4781
2021년 05월 04일 12시,○,부산,연제구,부산광역시의료원,연제구 월드컵대로 359,35.187283,129.059260,08:30 ~ 17:30,08:30 ~ 17:30,08:30 ~ 17:30,051-607-2816
2021년 05월 04일 12시,○,부산,영도구,영도구보건소,부산 영도구 태종로 423,35.090407,129.068007,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,051-416-4000
2021년 05월 04일 12시,○,부산,영도구,영도병원,부산시 영도구 태종로 85,35.092242,129.040537,9:00 ~ 17:00,9:00 ~ 13:00,미운영,051-419-7873
2021년 05월 04일 12시,○,부산,영도구,해동병원,부산시 영도구 태종로 133(봉래동 3가),35.091918,129.043958,8:30 ~ 17:00,미운영,미운영,051-410-6682
2021년 05월 04일 12시,○,부산,해운대구,해운대구보건소,부산 해운대구 좌2동 1339,35.164101,129.178651,09:00 ~ 17:00,09:30 ~ 17:00,09:30 ~ 17:00,051-746-4000
2021년 05월 04일 12시,○,부산,해운대구,해운대백병원,해운대로875,35.173509,129.182015,08:30 ~ 17:00,미운영,미운영,051-797-0100
2021년 05월 04일 12시,○,부산,해운대구,해운대부민병원,해운대로584,35.161374,129.155887,09:00 ~ 17:00,미운영,미운영,051-602-8000
2021년 05월 04일 12시,○,경남,양산시,양산부산대학교병원,금오로 20,35.327974,129.006307,09:00 ~ 17:00,미운영,미운영,055-360-3366
